record_path	record_id	record_label	grounding_role	grounding_curie	ontology_label	record_label_match	declared_exact_synonyms	missing_exact_synonyms	status	oak_status	source_version
data/traits/morphology/gram_stain.yaml	METPO:1000697	gram stain	identifier	METPO:1000697	gram stain	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/gram_variable.yaml	METPO:1000700	gram variable	identifier	METPO:1000700	gram variable	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/green_pigmented.yaml	METPO:1003025	green pigmented	identifier	METPO:1003025	green pigmented	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/helical_shaped.yaml	METPO:1000676	helical shaped	identifier	METPO:1000676	helical shaped	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/heterocyst.yaml	traitmech:000073	heterocyst	identifier	traitmech:000073					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/morphology/intracellular_inclusion.yaml	traitmech:000066	intracellular inclusion	identifier	traitmech:000066					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/morphology/irregular_shaped.yaml	METPO:1000691	irregular shaped	identifier	METPO:1000691	irregular shaped	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/lophotrichous.yaml	traitmech:000058	lophotrichous	identifier	traitmech:000058					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/morphology/magnetosome.yaml	traitmech:000071	magnetosome	identifier	traitmech:000071					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/morphology/magnetosome.yaml	traitmech:000071	magnetosome	xref	GO:0110143	magnetosome	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	releases/2026-07-26
data/traits/morphology/monotrichous.yaml	traitmech:000057	monotrichous	identifier	traitmech:000057					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/morphology/motile.yaml	METPO:1000702	motile	identifier	METPO:1000702	motile	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/motility.yaml	METPO:1000701	motility	identifier	METPO:1000701	motility	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/mycelial_growth.yaml	traitmech:000074	mycelial growth	identifier	traitmech:000074					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/morphology/non_motile.yaml	METPO:1000703	non motile	identifier	METPO:1000703	non motile	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/non_spore_forming.yaml	METPO:1000872	non-spore forming	identifier	METPO:1000872	non-spore forming	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/orange_pigmented.yaml	METPO:1003026	orange pigmented	identifier	METPO:1003026	orange pigmented	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/oval_shaped.yaml	METPO:1000678	oval shaped	identifier	METPO:1000678	oval shaped	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/ovoid_shaped.yaml	METPO:1000677	ovoid shaped	identifier	METPO:1000677	ovoid shaped	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/peritrichous.yaml	traitmech:000060	peritrichous	identifier	traitmech:000060					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/morphology/pigmentation.yaml	METPO:1003021	pigmentation	identifier	METPO:1003021	pigmentation	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/pink_pigmented.yaml	METPO:1003027	pink pigmented	identifier	METPO:1003027	pink pigmented	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/pleomorphic_shaped.yaml	METPO:1000679	pleomorphic shaped	identifier	METPO:1000679	pleomorphic shaped	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/morphology/polyhydroxyalkanoate_granule.yaml	traitmech:000067	polyhydroxyalkanoate granule	identifier	traitmech:000067					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/morphology/polyhydroxyalkanoate_granule.yaml	traitmech:000067	polyhydroxyalkanoate granule	xref	GO:0070088	polyhydroxyalkanoate granule	CANONICAL_LABEL	PHA granule		EXACT_COMPLETE	AGREES	releases/2026-07-26
data/traits/morphology/polyphosphate_granule.yaml	traitmech:000068	polyphosphate granule	identifier	traitmech:000068					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/morphology/prosthecate.yaml	traitmech:000065	prosthecate	identifier	traitmech:000065					NO_DIRECT_SOURCE	NOT_CHECKED	
