file	graph_id	defect	severity	detail
data/traits/metabolism/ethanol_fermentation.yaml	ethanol_fermentation_pyruvate_to_ethanol	MICROBE_DOMAIN_ON_NONORGANISM	WARN	pyruvate_decarboxylase--METPO:2000202-->carbon_dioxide subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/ethanol_fermentation.yaml	ethanol_fermentation_pyruvate_to_ethanol	MICROBE_DOMAIN_ON_NONORGANISM	WARN	alcohol_dehydrogenase--METPO:2000202-->ethanol subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/ethanol_fermentation.yaml	ethanol_fermentation_pyruvate_to_ethanol	MICROBE_DOMAIN_ON_NONORGANISM	WARN	alcohol_dehydrogenase--METPO:2000202-->nad_plus subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/fermentation.yaml	fermentation_redox_energy	MICROBE_DOMAIN_ON_NONORGANISM	WARN	pfor--METPO:2000202-->reduced_ferredoxin subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/fermentation.yaml	fermentation_redox_energy	MICROBE_DOMAIN_ON_NONORGANISM	WARN	flavin_based_electron_bifurcation--METPO:2000017-->reduced_ferredoxin subject_type=BIOLOGICAL_PROCESS predicate='reduces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/fermentation.yaml	fermentation_redox_energy	MICROBE_DOMAIN_ON_NONORGANISM	WARN	atp_synthase--METPO:2000202-->atp subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/fermentative_hydrogen_production.yaml	fermentative_h2_production	MICROBE_DOMAIN_ON_NONORGANISM	WARN	fermentative_h2_trait--METPO:2000202-->molecular_hydrogen subject_type=TRAIT predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/fermentative_hydrogen_production.yaml	fermentative_h2_production	MICROBE_DOMAIN_ON_NONORGANISM	WARN	fefe_hydrogenase--METPO:2000202-->molecular_hydrogen subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/homoacetogenesis.yaml	homoacetogenesis_wood_ljungdahl_acetate	MICROBE_DOMAIN_ON_NONORGANISM	WARN	homoacetogenesis_trait--METPO:2000202-->acetate subject_type=TRAIT predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/homoacetogenesis.yaml	homoacetogenesis_wood_ljungdahl_acetate	MICROBE_DOMAIN_ON_NONORGANISM	WARN	acs_codh_complex--METPO:2000202-->acetyl_coa subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/homoacetogenesis.yaml	homoacetogenesis_wood_ljungdahl_acetate	MICROBE_DOMAIN_ON_NONORGANISM	WARN	atp_synthase--METPO:2000202-->atp subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/iron_oxidation.yaml	iron_oxidation_ferrous_to_ferric	MICROBE_DOMAIN_ON_NONORGANISM	WARN	iron_oxidation_trait--METPO:2000016-->ferrous_iron subject_type=TRAIT predicate='oxidizes' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
